timestamp,localized,ax,ay,az,gx,gy,gz
1686782913053,2023-06-14T15:48:33.053(UTC-07:00),-2720,5535,-7126,100,-205,24
1686782913047,2023-06-14T15:48:33.047(UTC-07:00),-2710,5584,-7086,100,-204,18
1686782913041,2023-06-14T15:48:33.041(UTC-07:00),-2764,5557,-7071,115,-200,16
1686782913036,2023-06-14T15:48:33.036(UTC-07:00),-2711,5569,-7092,129,-195,18
1686782913030,2023-06-14T15:48:33.030(UTC-07:00),-2708,5518,-7092,112,-194,23
1686782913024,2023-06-14T15:48:33.024(UTC-07:00),-2722,5549,-6997,85,-197,35
1686782913019,2023-06-14T15:48:33.019(UTC-07:00),-2763,5544,-7123,78,-191,42
1686782913013,2023-06-14T15:48:33.013(UTC-07:00),-2772,5525,-7157,76,-189,44
1686782913007,2023-06-14T15:48:33.007(UTC-07:00),-2770,5545,-7023,75,-181,44
1686782913002,2023-06-14T15:48:33.002(UTC-07:00),-2744,5540,-7058,57,-190,44
1686782912996,2023-06-14T15:48:32.996(UTC-07:00),-2688,5496,-7044,30,-197,50
1686782912990,2023-06-14T15:48:32.990(UTC-07:00),-2668,5537,-7012,8,-207,40
1686782912984,2023-06-14T15:48:32.984(UTC-07:00),-2671,5552,-6998,-7,-213,41
1686782912979,2023-06-14T15:48:32.979(UTC-07:00),-2713,5517,-6988,2,-210,35
1686782912973,2023-06-14T15:48:32.973(UTC-07:00),-2654,5524,-6995,33,-197,36
1686782912967,2023-06-14T15:48:32.967(UTC-07:00),-2702,5555,-6980,83,-177,37
1686782912962,2023-06-14T15:48:32.962(UTC-07:00),-2733,5542,-7022,132,-155,39
1686782912956,2023-06-14T15:48:32.956(UTC-07:00),-2752,5519,-7025,159,-148,39
1686782912950,2023-06-14T15:48:32.950(UTC-07:00),-2702,5520,-7064,175,-150,30
1686782912945,2023-06-14T15:48:32.945(UTC-07:00),-2727,5453,-7059,184,-151,38
1686782912954,2023-06-14T15:48:32.954(UTC-07:00),-2751,5520,-7134,185,-154,54
1686782912964,2023-06-14T15:48:32.964(UTC-07:00),-2731,5536,-7092,173,-164,79
1686782912974,2023-06-14T15:48:32.974(UTC-07:00),-2701,5467,-7073,138,-166,103
1686782912983,2023-06-14T15:48:32.983(UTC-07:00),-2735,5471,-7079,122,-179,124
1686782912993,2023-06-14T15:48:32.993(UTC-07:00),-2681,5498,-7184,116,-171,133
1686782913003,2023-06-14T15:48:33.003(UTC-07:00),-2679,5593,-7145,53,-179,133
1686782913012,2023-06-14T15:48:33.012(UTC-07:00),-2701,5574,-7138,68,-181,105
1686782913022,2023-06-14T15:48:33.022(UTC-07:00),-2676,5589,-7129,79,-186,86
1686782913032,2023-06-14T15:48:33.032(UTC-07:00),-2675,5578,-7066,94,-182,59
1686782913042,2023-06-14T15:48:33.042(UTC-07:00),-2712,5634,-7028,126,-185,35
1686782913051,2023-06-14T15:48:33.051(UTC-07:00),-2711,5648,-7069,155,-171,12
1686782913061,2023-06-14T15:48:33.061(UTC-07:00),-2705,5644,-7069,193,-165,13
1686782913071,2023-06-14T15:48:33.071(UTC-07:00),-2772,5566,-7067,205,-157,13
1686782913080,2023-06-14T15:48:33.080(UTC-07:00),-2716,5599,-7071,193,-161,24
1686782913090,2023-06-14T15:48:33.090(UTC-07:00),-2723,5539,-7076,176,-168,36
1686782913100,2023-06-14T15:48:33.100(UTC-07:00),-2703,5539,-7081,151,-177,42
1686782913109,2023-06-14T15:48:33.109(UTC-07:00),-2710,5581,-7105,132,-193,49
1686782913119,2023-06-14T15:48:33.119(UTC-07:00),-2682,5547,-7131,113,-186,61
1686782913129,2023-06-14T15:48:33.129(UTC-07:00),-2689,5535,-7089,96,-197,68
1686782913139,2023-06-14T15:48:33.139(UTC-07:00),-2724,5530,-7150,86,-199,60
1686782913148,2023-06-14T15:48:33.148(UTC-07:00),-2707,5518,-7082,80,-199,61
1686782913158,2023-06-14T15:48:33.158(UTC-07:00),-2692,5517,-7156,65,-193,65
1686782913168,2023-06-14T15:48:33.168(UTC-07:00),-2742,5574,-7077,48,-200,56
1686782913178,2023-06-14T15:48:33.178(UTC-07:00),-2714,5577,-7122,42,-201,53
1686782913187,2023-06-14T15:48:33.187(UTC-07:00),-2713,5578,-7127,27,-210,61
1686782913197,2023-06-14T15:48:33.197(UTC-07:00),-2696,5572,-7121,-8,-227,61
1686782913207,2023-06-14T15:48:33.207(UTC-07:00),-2682,5612,-7129,-42,-237,63
1686782913217,2023-06-14T15:48:33.217(UTC-07:00),-2658,5647,-7093,-66,-253,63
1686782913226,2023-06-14T15:48:33.226(UTC-07:00),-2731,5621,-7148,-93,-260,56
1686782913236,2023-06-14T15:48:33.236(UTC-07:00),-2694,5662,-7089,-100,-266,51
1686782913246,2023-06-14T15:48:33.246(UTC-07:00),-2729,5612,-6989,-69,-260,44
1686782913256,2023-06-14T15:48:33.256(UTC-07:00),-2736,5565,-7041,-16,-248,36
1686782913265,2023-06-14T15:48:33.265(UTC-07:00),-2716,5609,-7008,14,-227,38
1686782913275,2023-06-14T15:48:33.275(UTC-07:00),-2709,5520,-7044,23,-219,43
1686782913285,2023-06-14T15:48:33.285(UTC-07:00),-2744,5561,-7028,10,-220,37
1686782913295,2023-06-14T15:48:33.295(UTC-07:00),-2719,5548,-7096,12,-214,40
1686782913304,2023-06-14T15:48:33.304(UTC-07:00),-2679,5527,-7116,15,-207,46
1686782913314,2023-06-14T15:48:33.314(UTC-07:00),-2706,5515,-6991,9,-213,56
1686782913324,2023-06-14T15:48:33.324(UTC-07:00),-2642,5537,-7103,-21,-221,59
1686782913334,2023-06-14T15:48:33.334(UTC-07:00),-2669,5509,-7048,-49,-237,69
1686782913344,2023-06-14T15:48:33.344(UTC-07:00),-2718,5565,-7053,-80,-245,80
1686782913355,2023-06-14T15:48:33.355(UTC-07:00),-2720,5563,-6972,-71,-243,84
1686782913365,2023-06-14T15:48:33.365(UTC-07:00),-2769,5588,-6981,-42,-223,95
1686782913376,2023-06-14T15:48:33.376(UTC-07:00),-2716,5678,-6958,-21,-202,107
