timestamp,localized,red,ir
1686783189195,2023-06-14T15:53:09.195(UTC-07:00),26723,45305
1686783189190,2023-06-14T15:53:09.190(UTC-07:00),26724,45309
1686783189185,2023-06-14T15:53:09.185(UTC-07:00),26726,45312
1686783189180,2023-06-14T15:53:09.180(UTC-07:00),26726,45316
1686783189175,2023-06-14T15:53:09.175(UTC-07:00),26727,45319
1686783189170,2023-06-14T15:53:09.170(UTC-07:00),26728,45322
1686783189165,2023-06-14T15:53:09.165(UTC-07:00),26729,45326
1686783189160,2023-06-14T15:53:09.160(UTC-07:00),26730,45330
1686783189155,2023-06-14T15:53:09.155(UTC-07:00),26731,45335
1686783189150,2023-06-14T15:53:09.150(UTC-07:00),26733,45340
1686783189145,2023-06-14T15:53:09.145(UTC-07:00),26733,45343
1686783189140,2023-06-14T15:53:09.140(UTC-07:00),26733,45342
1686783189135,2023-06-14T15:53:09.135(UTC-07:00),26732,45336
1686783189130,2023-06-14T15:53:09.130(UTC-07:00),26729,45324
1686783189125,2023-06-14T15:53:09.125(UTC-07:00),26726,45308
1686783189120,2023-06-14T15:53:09.120(UTC-07:00),26722,45292
1686783189115,2023-06-14T15:53:09.115(UTC-07:00),26719,45278
1686783189110,2023-06-14T15:53:09.110(UTC-07:00),26716,45269
1686783189105,2023-06-14T15:53:09.105(UTC-07:00),26715,45264
1686783189100,2023-06-14T15:53:09.100(UTC-07:00),26715,45265
1686783189095,2023-06-14T15:53:09.095(UTC-07:00),26716,45268
1686783189090,2023-06-14T15:53:09.090(UTC-07:00),26718,45274
1686783189085,2023-06-14T15:53:09.085(UTC-07:00),26719,45279
1686783189080,2023-06-14T15:53:09.080(UTC-07:00),26721,45285
1686783189075,2023-06-14T15:53:09.075(UTC-07:00),26722,45290
1686783189070,2023-06-14T15:53:09.070(UTC-07:00),26724,45295
1686783189065,2023-06-14T15:53:09.065(UTC-07:00),26726,45300
1686783189060,2023-06-14T15:53:09.060(UTC-07:00),26727,45303
1686783189055,2023-06-14T15:53:09.055(UTC-07:00),26728,45304
1686783189050,2023-06-14T15:53:09.050(UTC-07:00),26728,45306
1686783189045,2023-06-14T15:53:09.045(UTC-07:00),26729,45307
1686783189041,2023-06-14T15:53:09.041(UTC-07:00),26729,45308
1686783189060,2023-06-14T15:53:09.060(UTC-07:00),26730,45311
1686783189079,2023-06-14T15:53:09.079(UTC-07:00),26732,45314
1686783189098,2023-06-14T15:53:09.098(UTC-07:00),26733,45318
1686783189117,2023-06-14T15:53:09.117(UTC-07:00),26735,45323
1686783189136,2023-06-14T15:53:09.136(UTC-07:00),26737,45327
1686783189155,2023-06-14T15:53:09.155(UTC-07:00),26739,45331
1686783189174,2023-06-14T15:53:09.174(UTC-07:00),26740,45336
1686783189193,2023-06-14T15:53:09.193(UTC-07:00),26742,45341
1686783189212,2023-06-14T15:53:09.212(UTC-07:00),26744,45346
1686783189231,2023-06-14T15:53:09.231(UTC-07:00),26745,45352
1686783189250,2023-06-14T15:53:09.250(UTC-07:00),26746,45356
1686783189269,2023-06-14T15:53:09.269(UTC-07:00),26746,45357
1686783189288,2023-06-14T15:53:09.288(UTC-07:00),26745,45354
1686783189307,2023-06-14T15:53:09.307(UTC-07:00),26743,45346
1686783189326,2023-06-14T15:53:09.326(UTC-07:00),26740,45334
1686783189346,2023-06-14T15:53:09.346(UTC-07:00),26736,45319
1686783189365,2023-06-14T15:53:09.365(UTC-07:00),26733,45305
1686783189384,2023-06-14T15:53:09.384(UTC-07:00),26730,45293
1686783189403,2023-06-14T15:53:09.403(UTC-07:00),26728,45286
1686783189422,2023-06-14T15:53:09.422(UTC-07:00),26727,45283
1686783189441,2023-06-14T15:53:09.441(UTC-07:00),26727,45284
1686783189460,2023-06-14T15:53:09.460(UTC-07:00),26728,45287
1686783189479,2023-06-14T15:53:09.479(UTC-07:00),26729,45292
1686783189498,2023-06-14T15:53:09.498(UTC-07:00),26730,45298
1686783189517,2023-06-14T15:53:09.517(UTC-07:00),26732,45303
1686783189536,2023-06-14T15:53:09.536(UTC-07:00),26733,45309
1686783189555,2023-06-14T15:53:09.555(UTC-07:00),26735,45314
1686783189574,2023-06-14T15:53:09.574(UTC-07:00),26736,45318
1686783189593,2023-06-14T15:53:09.593(UTC-07:00),26737,45321
1686783189612,2023-06-14T15:53:09.612(UTC-07:00),26738,45323
1686783189631,2023-06-14T15:53:09.631(UTC-07:00),26739,45325
1686783189651,2023-06-14T15:53:09.651(UTC-07:00),26740,45326
1686783189669,2023-06-14T15:53:09.669(UTC-07:00),26740,45328
1686783189688,2023-06-14T15:53:09.688(UTC-07:00),26741,45330
1686783189707,2023-06-14T15:53:09.707(UTC-07:00),26741,45332
1686783189726,2023-06-14T15:53:09.726(UTC-07:00),26741,45335
1686783189744,2023-06-14T15:53:09.744(UTC-07:00),26742,45338
1686783189763,2023-06-14T15:53:09.763(UTC-07:00),26742,45342
1686783189782,2023-06-14T15:53:09.782(UTC-07:00),26743,45347
1686783189801,2023-06-14T15:53:09.801(UTC-07:00),26745,45352
1686783189819,2023-06-14T15:53:09.819(UTC-07:00),26748,45358
1686783189838,2023-06-14T15:53:09.838(UTC-07:00),26751,45364
1686783189857,2023-06-14T15:53:09.857(UTC-07:00),26753,45369
1686783189876,2023-06-14T15:53:09.876(UTC-07:00),26755,45371
1686783189894,2023-06-14T15:53:09.894(UTC-07:00),26755,45371
1686783189913,2023-06-14T15:53:09.913(UTC-07:00),26754,45365
1686783189932,2023-06-14T15:53:09.932(UTC-07:00),26751,45354
1686783189951,2023-06-14T15:53:09.951(UTC-07:00),26747,45340
1686783189969,2023-06-14T15:53:09.969(UTC-07:00),26742,45324
1686783189988,2023-06-14T15:53:09.988(UTC-07:00),26737,45309
1686783190007,2023-06-14T15:53:10.007(UTC-07:00),26733,45297
1686783190026,2023-06-14T15:53:10.026(UTC-07:00),26731,45289
1686783190044,2023-06-14T15:53:10.044(UTC-07:00),26730,45286
1686783190063,2023-06-14T15:53:10.063(UTC-07:00),26730,45287
1686783190082,2023-06-14T15:53:10.082(UTC-07:00),26732,45291
1686783190101,2023-06-14T15:53:10.101(UTC-07:00),26733,45296
1686783190119,2023-06-14T15:53:10.119(UTC-07:00),26735,45302
1686783190138,2023-06-14T15:53:10.138(UTC-07:00),26737,45308
1686783190157,2023-06-14T15:53:10.157(UTC-07:00),26738,45313
1686783190176,2023-06-14T15:53:10.176(UTC-07:00),26740,45317
1686783190194,2023-06-14T15:53:10.194(UTC-07:00),26741,45321
1686783190213,2023-06-14T15:53:10.213(UTC-07:00),26743,45323
1686783190232,2023-06-14T15:53:10.232(UTC-07:00),26744,45326
1686783190251,2023-06-14T15:53:10.251(UTC-07:00),26745,45328
1686783190272,2023-06-14T15:53:10.272(UTC-07:00),26746,45330
1686783190294,2023-06-14T15:53:10.294(UTC-07:00),26747,45332
1686783190315,2023-06-14T15:53:10.315(UTC-07:00),26748,45336
1686783190337,2023-06-14T15:53:10.337(UTC-07:00),26750,45340
1686783190358,2023-06-14T15:53:10.358(UTC-07:00),26751,45344
1686783190380,2023-06-14T15:53:10.380(UTC-07:00),26752,45348
1686783190401,2023-06-14T15:53:10.401(UTC-07:00),26754,45353
1686783190423,2023-06-14T15:53:10.423(UTC-07:00),26756,45358
1686783190445,2023-06-14T15:53:10.445(UTC-07:00),26758,45364
1686783190466,2023-06-14T15:53:10.466(UTC-07:00),26760,45371
1686783190488,2023-06-14T15:53:10.488(UTC-07:00),26762,45376
1686783190509,2023-06-14T15:53:10.509(UTC-07:00),26763,45380
